,Link,Ingredients,Instructions,Image
Fried Rice Recipe,https://www.vegrecipesofindia.com/veg-fried-rice-recipe/,"['cup basmati rice or long grained rice   to  grams', 'to  cups water', 'teaspoon salt or add as required', 'to  drops toasted sesame oil or any neutral oil', 'tablespoons toasted sesame oil or any neutral oil', 'star anise', 'to   teaspoon finely chopped garlic or  to  small to medium garlic cloves', 'teaspoon finely chopped ginger or  inch ginger  optional', 'cup chopped spring onion whites scallions', 'cup  finely chopped french beans', 'cup  finely chopped carrots', 'to   cup  finely chopped cabbage  optional', 'cup  chopped bell pepper or capsicum  red green or yellow', 'cup chopped button mushrooms', 'tablespoon finely chopped celery  skip if you do not have', 'tablespoons soy sauce naturally brewed or tamari  can add as required', 'teaspoon rice wine or rice vinegar', 'teaspoon black pepper powder or add as required', 'tablespoons chopped spring onions greens', 'salt as required']","['Rinse rice very well till the water runs clear of starch Soak rice in water for  mins Drain and keep aside', 'In a pot bring water to a gentle boil with salt and  to  drops of toasted sesame oil', 'Add the soaked and drained rice to the hot water', 'On a low to medium to mediumhigh heat simmer rice without the lid', 'When rice becomes al dente or just about cooked remove the pot from the heat Strain the rice in a colander or sieve', 'You can also gently rinse cooked rice in water so that they stop cooking and dont stick to each other Cover the cooked rice and set aside until the rice cools completely You can even refrigerate rice with a covered lid for  minutes', 'When the cooked rice is cooling chop the veggies finely and keep aside', 'Remember to chop the french beans very finely They take more time to cook than other veggies You can also blanch them first and then cook Another option is to add the beans first and then add the other vegetables', 'Heat oil in a wok or a pan First add the star anise and fry for a few seconds or until the oil becomes fragrant', 'Add the garlic ginger and saut for some seconds No need to brown the garlic', 'Add the spring onions whites and saut for about  minutes', 'Then add finely chopped french beans', 'Stir fry french beans for  to  minutes over medium to mediumhigh heat', 'Add the remaining finely chopped veggies including mushrooms and celery Increase the heat to a high to thoroughly cook all of the vegetables', 'You have to continuously toss and stir while frying so that the veggies are uniformly cooked and do not get burnt', 'The vegetables have to be stirfried until they are almost cooked and yet retain their crunchiness and crispiness Stirfrying vegetables on high heat takes about  to  minutes', 'Add the soy sauce salt and pepper Stir quickly and add cooked and cooled rice Stir fry for a few minutes until the sauce has coated the rice well Keep a check when adding salt as soy sauce already has salt in it', 'Serve the fried rice hot as it is or with with your favorite Chinese side', 'Though fried rice tastes great on its own you can pair it with Veg Manchurian Gobi Manchurian Chilli Paneer Spring Rolls or Chilli Mushroom More side recipes for veg fried rice are linked and listed in the main post', 'Vegetable fried rice stays good for a couple of a days But I would recommend it to be eaten as soon as you can since many days old rice is not good for health']",https://www.vegrecipesofindia.com/wp-content/uploads/2020/12/fried-rice-recipe.jpg
milk masala powder recipe  masala doodh powder recipe,https://www.vegrecipesofindia.com/masala-milk-powder-recipe-masala-doodh/,"['cup almonds', 'cup cashews', 'cup pistachios  shells removed', 'green cardamoms  only seeds and the husks removed', 'teaspoon nutmeg powder jaiphal powder or half nutmeg  grated or powdered', 'to  tablespoon dry rose petals optional', 'teaspoon black pepper  if you prefer you can increase the amount to  teaspoon', 'teaspoon saffron strands  check notes if you plan to skip saffron', 'tablespoon organic cane sugar or regular sugar you can also add as required', 'teaspoon saunf aniseeds or fennel seeds  optional', 'cup pumpkin seeds or melon seeds magaz  check notes if not adding pumpkin seeds  optional', 'teaspoon turmeric powder for additional yellow color check notes if you want to skip saffron and just add turmeric powder optional']","['Heat a pan and add all the dry fruits  almonds pistachios cashews pumpkin seedsmelon seeds', 'Dry roast for  to  minutes on a low flame', 'Remove and keep aside in a plate or tray Use fresh nuts and not the ones whose shelf life has expired', 'In the same pan add the saffron strands', 'Stir for more than half a minute till the color of the saffron changes to a darker shade Remove and keep aside', 'Grate the nutmeg and keep aside', 'Once the dry fruits cool down then add everything in a dry grinder jar including rose petals fennel black pepper turmeric powder cardamom seeds and sugar If you have a small dry grinder jar then you will have to grind in batches Grind to a fine powder', 'Remove the milk masala powder and keep in an airtight container or jar Store in the fridge as the nuts may get rancid The recipe yields a medium jar of milk powder', 'To serve dissolve  to  teaspoons of the milk masala powder in a glass of hot milk or chilled milk Add sugar as required Stir and serve masala milk']",https://www.vegrecipesofindia.com/wp-content/uploads/2014/08/masala-milk-powder.jpg
Bhindi Masala,https://www.vegrecipesofindia.com/bhindi-masala/,"['tablespoons oil  sunflower oil or peanut oil or any neutral oil', 'grams okra bhindi or lady finger', 'tablespoon oil  sunflower oil or peanut oil or any neutral oil', 'cup finely chopped onions or  mediumsized onion', 'teaspoon GingerGarlic Paste or  inch ginger and  to  medium garlic cloves crushed in mortarpestle', 'cup finely chopped tomatoes  mediumsized tomatoes', 'teaspoon coriander powder ground coriander', 'teaspoon kashmiri red chili powder or  teaspoon red chilli powder or cayenne pepper', 'teaspoon turmeric powder', 'teaspoon fennel powder ground fennel  optional', 'teaspoon Garam Masala Powder', 'teaspoon amchur powder dry mango powder or add as required', 'salt as required', 'teaspoon kasuri methi   crushed dry fenugreek leaves   optional', 'tablespoons chopped coriander leaves']","['Rinse the bhindi okra well in water', 'Dry them on a large plate on their own or wipe with a kitchen towel', 'Remove the base and stalk while chopping themChop into  or  inch pieces', 'Also chop onions and tomatoes Keep aside', 'Make a paste of ginger and garlic in mortarpestle and keep aside', 'Heat  tbsp oil in a kadai wok or pan', 'Add the chopped bhindi and saut stirring often till they are completely cooked You will have to keep an eye on them and stir in between many times', 'Taste the sauted okra and if the crunchiness is not there and the bhindi have become soft it means they are cooked Keep the sauted bhindi aside', 'All the oil will be used up So add  tbsp oil to the same pan', 'Add chopped onions and fry till they become translucent', 'Add the gingergarlic paste and saute for  minute or till the raw aroma of the gingergarlic disappears', 'Add the chopped tomatoes and saute till the tomatoes become soft and mushy', 'If the tomato mixture becomes too dry and starts sticking to the pan then add about  cup water Mix well and continue to cook', 'All the above cooking is done in a open pan and you dont need to cover the pan with the lid', 'Add all the dry spice powders one by one', 'Mix well and saute for a few seconds', 'Add the sauted bhindi crushed kasuri methi  salt and mix so that the oniontomato masala coats the okra well', 'Cook for about  minutes Stir in between', 'Then switch off the flame and add chopped coriander leaves Mix again', 'Serve bhindi masala hot or warm garnished with a few coriander leaves and accompanied with chapati roti or naan']",https://www.vegrecipesofindia.com/wp-content/uploads/2013/04/bhindi-masala-recipe-1.jpg
Ghee Rice,https://www.vegrecipesofindia.com/ghee-rice-recipe-rice-recipes/,"['cup basmati rice   grams', 'tablespoons Ghee clarified butter', 'to  cashews', 'tablespoon raisins without seeds', 'cup thinly sliced onions     grams or  mediumsized', 'to  cups water for stovetop pan and  cups for instant pot', 'teaspoon rock salt edible and food grade or add as required', 'to  tablespoons chopped coriander leaves cilantro for garnish', 'inches cinnamon', 'green cardamoms', 'cloves', 'single strands of mace', 'to  black peppercorns', 'tej patta Indian bay leaf']","['Rinse basmati rice in water until the water runs clear of starch Soak the rice grains for  to  minutes in enough water', 'Later drain the water and keep the soaked rice aside', 'Before cooking gather all the ingredients and set aside  the whole spices cashews and raisins', 'Slice  medium sized onion and set aside', 'Heat  tablespoons ghee in a thick bottomed pot or a thick bottomed pan Keep the heat on a low', 'Add the cashews first Fry till you see light brown specks on a few of the cashews', 'Then add the raisins Fry until the raisins puff up in the ghee Do stir continuously while frying the raisins and cashews', 'Remove with a slotted spoon and set aside', 'To the same ghee add the whole spices and let them crackle and turn fragrant Do not burn the spices', 'Then immediately add the sliced onions', 'Stir and saut until the onions turn golden or caramelize', 'Now add the soaked rice', 'Gently stir the rice so that the ghee coats the grains evenly', 'Now add  to  cups of water Add water as required depending on the quality of rice Some brands of basmati rice need only  cups of water So add water accordingly', 'Season with salt as per taste I have used edible and food grade rock salt If using any other salt then add as per your taste Check the taste of the water and it should taste a bit salty', 'Cover the pan with a tight fitting lid', 'Simmer until the rice is tender and all the water is absorbed Time take will be about  to  minutes or more depending on the quality age of rice and the kind of pan', 'You can check once or twice while the rice is cooking If the grains are under cooked and the water has dried up add some tablespoons of water all over Gently stir with a fork Cover and continue to cook', 'Once the rice grains are fluffy and tender rest for  to  minutes Later remove the lid Fluff the rice gently with a fork', 'Serve ghee rice hot or warm garnished with fried cashews  raisins and some chopped coriander leaves It tastes so good that you can even have it as it is without any accompanying curry or dal or kurma', 'Firstly press the saut button on your Instant Pot Let the display show hot Add the cashews first When they begin to get light golden then add raisins and fry until the raisins become plump Remove them and set aside', 'Add the spices and let them crackle Tip in the sliced onions and saut until golden', 'Now add the rice Mix the rice grains very well', 'Add  cups water and salt as needed Stir well deglazing and removing any stuck bits of ingredients', 'Seal IP with its lid Position the pressure valve to the sealing position Pressure cook on high for  minutes', 'When the IP beeps after the pressure cooking is complete wait for  minutes before doing a quick pressure release', 'Carefully lift the valve to remove the extra pressure Remove the lid Gently fluff the rice and serve hot garnished with the fried cashews raisins and coriander leaves', 'First heat the ghee and then fry the cashews raisins in a  litre pressure cooker Set the fried cashews and raisins aside with a slotted spoon', 'Then fry the whole spices and saut onions until golden in the remaining ghee inside the cooker', 'Add the rice and mix well Pour  to  cups water and season with salt as needed', 'Pressure cook for  to  minutes on medium to mediumhigh heat or for  whistles Let the pressure fall naturally in the cooker Open and fluff the ghee rice Serve hot or warm', 'Garnish the ghee rice with the fried cashews and raisins and serve hot or warm For an extra pop of fresh flavor you can top with some chopped coriander or mint leaves', 'Enjoy ghee riceplain on its own or as a delicious side dish It is perfect to pair with gravy based dishes like richany Indian curry or with dals or korma varieties like vegetable korma or potato korma', 'Keep any leftovers in your refrigerator for  to  days Reheat by steaming in the Instant pot or in a pan for  minutes']",https://www.vegrecipesofindia.com/wp-content/uploads/2021/02/ghee-rice-recipe-0.jpg
Avocado Salad,https://www.vegrecipesofindia.com/avocado-salad/,"['tablespoon extra virgin olive oil', 'dash lemon zest  or zest from  small lemon', 'to  teaspoons lemon juice', 'teaspoon smoked paprika', 'teaspoon black pepper', 'small to medium garlic  minced or finely chopped', 'cup finely chopped onions or  small onion', 'to  cup chopped tomatoes  or  mediumsized tomato', 'tablespoon finely chopped parsley  or cilantro coriander leaves', 'mediumsized avocados  chopped preferable to use hass avocado', 'dash black salt   optional', 'white salt or kosher salt or himalayan pink salt   as per taste']","['In a small bowl take the extra virgin olive oil lemon zest lemon juice', 'Add the smoked paprika black pepper and minced or finely chopped garlic', 'In place of smoked paprika you can use  teaspoon cayenne pepper or sweet paprika or red chilli powder', 'Mix very well and keep the dressing aside', 'Take chopped onions tomatoes and parsley in a mixing bowl', 'Add chopped avocado', 'Stir the dressing again and then pour it on the avocado', 'Season with a dash of black salt Also add white salt or kosher salt or himalayan pink salt or rock salt', 'Toss and mix well', 'Serve avocado salad as a side or a main']",https://www.vegrecipesofindia.com/wp-content/uploads/2019/12/avocado-salad.jpg
Kurkuri Bhindi  Okra Fry  Bhindi Fry,https://www.vegrecipesofindia.com/crispy-okra-fry-recipe-crisp-bhindi-fry/,"['grams okra bhindi or lady finger', 'teaspoon turmeric powder', 'teaspoon red chili powder', 'teaspoon coriander powder ground coriander', 'teaspoon cumin powder', 'teaspoon Garam Masala Powder', 'teaspoon dry mango powder amchur powder', 'teaspoon chaat masala', 'cup gram flour besan or chickpea flour', 'salt add as required', 'tablespoons oil or add as required for frying the bhindi in batches']","['Rinse the okra or bhindi in water for  times Wipe them dry with a kitchen napkin Slice the okra vertically into  pieces', 'If you have small sized okra then slice into  pieces Take all your sliced okra in a big thali or a big bowl', 'Now sprinkle all the spice powders one by one on the sliced okra', 'With a spoon or spatula gently mix the spice powders with the okra', 'Sprinkle the besan on the okra', 'Again gently mix the besan with the okra The besan must evenly coat the okra', 'Marinate the okra in this mixture for  minutes You could also keep it for an hour', 'In your kadai heat  to  tablespoons oil', 'Add a batch of marinated okra and fry You can fry in three to four batches depending on the size of kadai Add more oil if required while frying okra', 'Fry the okra till golden brown and crisp on a medium flame', 'Take care and keep on turning the okra so that they get fried evenly If the oil becomes too hot you could lower the flame and fry', 'Keep the fried okra on a crumpled kitchen tissue so that the extra oil gets drained', 'Serve bhindi kurkuri directly as they are or if you want you could garnish okra with coriander leaves julienned ginger or sliced green chilis', 'If you like you could also sprinkle some lime juice on top of the crispy okrayou could also sprinkle some kala namak or chaat masala on the crispy fried okra', 'Enjoy the kurkuri bhindi fry as it is or with rotis and a bowl of curd']",https://www.vegrecipesofindia.com/wp-content/uploads/2010/09/kurkuri-bhindi-recipe.jpg
Cakes Eggless,https://www.vegrecipesofindia.com/eggless-cakes-recipes/,[],[],
mango mastani,https://www.vegrecipesofindia.com/mango-mastani-recipe/,"['large mangoes or  to  grams alphonso mangoes or kesar mangoes or  to  cups chopped mangoes or  to  cups thick mango puree or pulp', 'cups full cream chilled milk or  ml', 'to  tablespoon sugar or add as required', 'to  pistachios sliced or chopped', 'to  cashews sliced or chopped', 'to  almonds  sliced or chopped', 'to  scoops of vanilla ice cream or mango ice cream', 'to  glazed cherries for decoration optional', 'to  ice cubes optional']","['Slice a few dry fruits like pistachios almonds and cashews Keep them aside with  to  glazed cherries', 'Peel chop  large mangoes and add them to the blender', 'Reserve a few chopped mangoes aside for topping the mastani drink later', 'Add  to  tbsp sugar Add  cups full cream milk', 'Blend to a smooth thick milkshake Taste and if the sugar is less then you can add more If the mangoes are very sweet you can completely skip the sugar', 'Pour this thick mango milkshake in glasses till you have enough space at top for ice cream scoops', 'Place one or two vanilla or mango ice cream scoops', 'Top with the sliced dry fruits and chopped mangoes Garnish with the glazed cherries', 'Serve mango mastani immediately with a spoon as well as straw']",https://www.vegrecipesofindia.com/wp-content/uploads/2015/05/mango-milkshake-with-ice-cream.jpg
Vanilla Ice Cream,https://www.vegrecipesofindia.com/vanilla-ice-cream-recipe-eggless/,"['cups full cream milk or fullfat milk or whole milk', 'to  tablespoons corn starch', 'tablespoons milk', 'teaspoons vanilla extract or  to  vanilla beans', 'cup sugar or add as per taste', 'ml cream or about  cup cream  low fat  to  or whipping cream']","['Before you begin set the temperature in your fridge to its highest cold setting In a small bowl take  tablespoons milk and  to  tablespoons corn starch Substitutions for corn starch are arrowroot flour and rice flour Mix to a smooth paste', 'In a saucepan or pan take  cups full cream milk or fullfat milk Add  cup sugar', 'Keep this pan on the gas stove and begin to heat it Stir so that the sugar dissolves', 'When the milk becomes slightly hot add the corn starch paste gradually', 'Stir quickly so that lumps are not formed', 'Simmer on a low to medium flame till the milk thickens', 'The custard sauce should coat the back of a spoon', 'Take the custard sauce in a bowl and allow it to become warm or cool down Then keep in the freezer for  minutes to an hour', 'Remove from the fridge Change the temperature setting of your fridge back to the earlier one', 'With an electric beater beat the custard sauce till it increases a bit in volume Beat on a medium to high speed for  to  minutes', 'In another bowl take about  cup chilled fresh cream You could use heavy whipping cream or  to  lowfat cream Even malai cream or malai that floats on top of the milk can be used', 'Now begin to whip the cream on medium to high speed Whip till you get soft peaks', 'Add  tsp pure vanilla extract Here I used homemade vanilla extract You can also add seeds from  or  vanilla beans', 'Then add beaten thickened milk to the whipped cream  vanilla mixture', 'Fold lightly taking care that the ice cream mixture holds the volume and does not fall flat', 'Cover the bowl tightly with a lid or aluminium foil or cling film Keep in the fridge', 'When the ice cream is semi set after  to  hours remove and whip again very well in the same bowl Cover again tightly and keep in the freezer forthe ice cream to set', 'When the vanilla ice cream is well set scoop and serve in bowls or plates You can top the ice cream with any syrup or fruits or serve it plain']",https://www.vegrecipesofindia.com/wp-content/uploads/2015/05/vanilla-ice-cream-recipe.jpg
dhaba style dal makhani,https://www.vegrecipesofindia.com/dal-makhani-recipe-dhaba-style/,"['cup sabut urad dal black gram', 'tablespoons rajma kidney beans  optional', 'inch ginger chopped', 'cups water for pressure cooking', 'tablespoon oil or  tablespoon butter', 'cup water added later', 'cup cream  to  fat', 'teaspoon punjabi garam masala powder or garam masala powder', 'generous pinch nutmeg powder', 'teaspoon crushed kasuri methi leaves dried fenugreek leaves', 'salt as required', 'small piece of charcoal', 'to  teaspoon oil', 'outer covering of onion or onion shell', 'grams tomatoes chopped or  large tomatoes or  cup roughly chopped tomatoes', 'to  dry kashmiri red chilies', 'cup hot water for soaking dry red chilies', 'to  small to medium garlic chopped or  tablespoon roughly chopped garlic', 'inch ginger chopped or  tablespoon roughly chopped ginger']","['Rinse and soak the lentils in enough water overnight or for  to  hours', 'Drain and then add them in a pressure cooker', 'Add  cups water and pressure cook on high or medium flame for  to  whistles', 'Meanwhile add  dry red chilies in hot water Soak the red chilies in  cup hot water for  minutes', 'Add  medium sized chopped tomatoes dry soaked red chilies chopped garlic and ginger into the grinder jar', 'Grind till smooth puree is formed There is no need to add water while grinding Place this puree aside', 'When the pressure settles down on its own remove the lid and check if the lentils are cooked If they are not cooked then add some more water and pressure cook for some more time They should be cooked well', 'Add  cup fresh water tomatochili puree butter or oil garlic cream and salt to the cooked lentils in pressure cooker', 'Stir and mix well', 'Simmer the dal for  to  minutes on low flame without any lid Keep stirring at intervals', 'Mash some lentils with the back of a spoon to thicken the dal', 'The lentils should become so soft that they should melt in your mouth', 'Check the seasoning and add more salt or red chili powder if required', 'Simmer the daltill you get a creamy smooth consistency like the way you see in the dhabas and restaurants', 'Then add garam masala powder nutmeg powder and kasuri methi leaves which have been crushed Mix very well Switch off the flame', 'Serve the dhaba style dal makhani hot plain or topped with some butter or cream along with rotis naan paratha or plain or jeera rice']",https://www.vegrecipesofindia.com/wp-content/uploads/2013/10/dal-makhani-recipe-dhaba-style-26.jpg
Healthy and Easy Vegetarian Soup Recipes,https://www.vegrecipesofindia.com/soup-recipes-veg-soup-recipes/,[],[],https://www.vegrecipesofindia.com/wp-content/uploads/2014/12/soup-recipes.jpg
Rava Idli  Suji ki Idli,https://www.vegrecipesofindia.com/rava-idli-recipe-quick-rava-idli/,"['tablespoons Ghee clarified butter', 'halved cashews', 'teaspoon mustard seeds', 'teaspoon chana dal husked and split bengal gram or split  husked chickpeas', 'teaspoon cumin seeds', 'curry leaves  chopped', 'pinch asafoetida  optional', 'teaspoon  or  inch finely chopped ginger', 'green chilli  finely chopped', 'tablespoons finely grated carrots  optional', 'tablespoons chopped coriander leaves cilantro', 'teaspoon salt or add as required', 'cup or  grams cup rava sooji semolina cream of wheat', 'cup Curd yogurt', 'to  cup water or add as required', 'teaspoon eno fruit salt  or  teaspoon or  to  pinches of baking soda']","['Heat  tablespoons ghee in a pan Keep the heat to low or mediumlow Add the halved cashews Stirring often fry the cashews till golden Remove fried cashews with a slotted spoon draining the ghee and keep aside', 'To the same pan add mustard seeds and let them begin to splutter Keep the heat to low or mediumlow', 'When the mustard seeds begin to splutter add the chana dal Stirring often fry chana dal till they look golden and crunchy Then add the cumin seeds and fry for  to  seconds', 'Now add the chopped curry leaves asafoetida finely chopped ginger and green chillies Mix well and fry for  seconds Keep the heat to a low', 'Next add rava cream of wheat suji semolina', 'Mix well and stirring often roast the rava till they become aromatic change color a bit but should not get browned or golden and the grains look separate Roasting rava will takes about  to  minutes depending on the thickness and heaviness of the pan and the flame intensity Once the rava is well roasted keep the pan aside Let the rava become warm', 'To the roasted rava add  tablespoons finely grated carrots  tablespoons chopped coriander leaves and  teaspoon salt or add as required', 'Next add curd yogurt and water as required Depending on the quality of rava and the thickness of curd you can adjust the water from  to  cup If the curd is liquid and has whey in it then add  cup water If the curd is very thick then add  cup water Basically you need to get a medium consistency batter', 'Mix very well and let the batter rest covered for  minutesThe rava idli batter is neither thick nor thin in consistency and has a medium consistency', 'Brush oil or ghee on the idli pan moulds Place a fried halved cashew in the center of the moulds Also heat  to  cups water in a pot Keep a small length trivet stand or a rack in the pot Heat the water till it comes to a boil', 'After  minutes this is the consistency of the batter after resting If in case the batter looks thick rava idli batter looks thick then add  to  tablespoons of water to get a medium consistency Rava absorbs water and so the batter might thicken after  minutes If the curd is thick then also you may need to add more water If you have added more water in the beginning then you may not need to any water at this step', 'Sprinkle  teaspoon eno or  teaspoon baking soda evenly over the batter Quickly mix very well', 'Pour the batter in the idli moulds Place them in the pot with the hot water Cover with a lid and steam rava idli for  to  minutes', 'To check the doneness a toothpick or wooden skewer inserted in the rava idli should come out clean Remove the idli plates carefully and let them rest for  to  minutes Then with a spoon remove the rava idli', 'Serve the steaming hot rava idliwith sambar and your favorite coconut chutney']",https://www.vegrecipesofindia.com/wp-content/uploads/2013/11/rava-idli-5.jpg
aloo anardana salad recipe  potato pomegranate salad,https://www.vegrecipesofindia.com/aloo-anardana-salad/,"['medium sized potatoes aloo  boiled and diced', 'cup pomegranate arils', 'small onion  finely chopped', 'medium size tomato  finely chopped', 'tablespoon chopped mint leaves', 'a few mint leaves for garnish', 'teaspoon red chili powder  optional', 'teaspoon chaat masala powder', 'teaspoon roasted cumin powder', 'tablespoon lemon juice', 'or  tablespoon sunflower oil or peanut oil', 'black salt or pink salt or regular salt as required']","['In a bowl add the diced potatoes onion tomatoes pomegranate arils chopped mint leaves and mix gently', 'Mix all the ingredients for dressing', 'Check the the seasoning and add more of the spice powders if required', 'Mix all the spice powders with the lemon juice and oil', 'Pour the dressing in the bowl and mix gently', 'Serve the aloo anardana salad warm or chilled', 'Garnish with mint leaves while serving the salad']",https://www.vegrecipesofindia.com/wp-content/uploads/2013/01/aloo-anardana-salad.jpg
Bisi Bele Bath Authentic Karnataka Style,https://www.vegrecipesofindia.com/bisi-bele-bath-recipe/,"['cup regular rice i used sona masuri rice', 'cup raw peanuts', 'teaspoon rock salt edible and food grade sendha namak', 'cups water for cooking the rice', 'cup arhar dal tuvar dal or pigeon pea lentils', 'teaspoon turmeric powder', 'cups water', 'medium carrot or  to  grams carrot', 'to  french beans or  to  grams french beans', 'cup peas matar or  to  grams peas', 'to  small brinjals baingan or aubergine or  to  grams baingan', 'medium onion or  to  shallots or  to  grams onions or shallots', 'medium tomato or  to  grams tomatoes', 'tablespoon tightly packed seedless tamarind soaked in  or  cup water', 'to  cups water for cooking the vegetables', 'cup water added later', 'tablespoon bisi bele bath masala dissolved in  cup water', 'teaspoon rock salt edible and food grade for cooking the vegetables', 'teaspoon rock salt edible and food grade added later or add as required', 'tablespoon unsweetened desiccated coconut', 'to  tablespoon Ghee or oil', 'or  marathi moggu optional', 'teaspoon mustard', 'to  dry byadagibedgi chilies or dry red chilies', 'to  curry leaves', 'teaspoon asafoetida hing', 'to  cashews']","['Rinse the rice and peanuts first Add  cups water', 'Soak both rice and peanuts for  to  mins Add salt', 'Keep on the stove top and cook the rice', 'If required then you can add some more water while cooking the rice', 'Bring to a boil and then lower the flame Simmer till the rice grains are cooked well The peanuts would also cook well Cover and keep aside', 'Soak  tbsp tightly packed tamarind in  or  cup warm water for  to  mins', 'Later squeeze and extract the tamarind pulp', 'In a pressure cooker add rinsed tuvar dalpigeon pea lentils turmeric powder and  to  cups water', 'Pressure cook for  to  whistles or till the dal is cooked soft', 'Once the pressure settles down on its own mash the dal and keep aside', 'In another pan take the chopped veggies and  tsp salt Pour  cups water and stir', 'Cover and allow the veggies to cook till they are cooked and still retain their shape', 'Now in the cooker with the mashed dal add the cooked rice and peanuts', 'Then add the cooked vegetables along with its stock Stir lightly', 'Add  cup water Add tamarind pulp Mix everthing well taking care the rice grains do not break', 'Now in another pan or bowl take the  tbsp bisi bele bath masala and  cup water', 'Stir very well The masala tend to stick to the back of the spoon while stirring so scrape it off and add to the mixture', 'Now add this bisi bele bath  water mixture in the cooker', 'Add desiccated coconut Add  tsp salt or as required Stir well', 'Keep the cooker without the lid on the stove top and simmer on a low flame for about  to  mins Add more water if required Keep on stirring often The raw aroma of the tamarind has to go away and all the flavors should be blended well Cover and keep aside once done', 'In a another pan or the tadka tempering pan heat ghee or oil first Crackle the mustard seeds and then temper the curry leaves marathi moggu dry red chilies cashews and asafoetida till the dry red chilies change color and the cashews turn a light golden Dont burn the spices', 'Pour this tempering in the prepared bisi bele bath Stir and cover the cooker with its lid for about  mins so that the tempering flavors infuse in the bisi bele bath', 'Later Serve the bisi bele bath with potato or banana chipswafers or fried papads While serving you can top with some ghee if you prefer']",https://www.vegrecipesofindia.com/wp-content/uploads/2014/05/bisi-bele-bath.jpg
malai kofta,https://www.vegrecipesofindia.com/malai-kofta/,"['grams paneer cottage cheese  grated', 'medium size potatoes  boiled peeled and grated', 'teaspoon red chili powder', 'to  tablespoons cornflour corn starch', 'teaspoon Garam Masala Powder', 'tablespoon almond flour or  tablespoon milk powder or  tablespoon khoya mawa or dried evaporated milk solids', 'salt as required', 'oil for frying paneer koftas', 'cup onion paste or about  medium to large onions pureed', 'cup Tomato Puree or about  large tomatoes pureed', 'cup cashew paste or  to  cashews soaked in warm water for  minutes and then blended to a smooth paste', 'teaspoon turmeric powder', 'teaspoon red chili powder', 'inch ginger   to  garlic cloves  made in to a fine paste in a mortarpestle', 'teaspoon garam masala', 'cups water', 'teaspoon kasuri methi dry fenugreek leaves', 'salt as required', 'sugar as required optional', 'oil for shallow or deep frying the koftas', 'tej patta indian bay leaf', 'inch cinnamon', 'or  black cardamom', 'to  green cardamom', 'to  single strands of mace or a light pinch of mace powder', 'to  cloves', 'tablespoon grated paneer cottage cheese', 'or  tablespoon cream', 'a few chopped coriander leaves cilantro leaves']","['Mix all the ingredients mentioned under For making paneer kofta ingredient list except oil in a bowl', 'Make medium sized balls and fry the paneer koftas in medium hot oil till golden', 'Keep the fried kofta aside', 'Remove extra oil from the same pan and keep about  or  tbsp oil', 'Add all the whole spices and fry till the oil becomes fragrant', 'First add the onion paste and brown it', 'Now add the gingergarlic paste and fry for some seconds till the raw aroma of the paste goes away', 'Add the tomato puree and saute for  minutes', 'Add the turmeric powder red chili powder garam masala powder and cashew paste', 'Stir and saute till the oil starts to leave the sides of the masala paste Add water and stir', 'Simmer till the gravy begins to thicken Takes approx  minutes on a low flame', 'Towards the end add crushed kasuri methi leaves and salt', 'You can also add sugar if you want a light sweet taste in the curry Simmer for  minutes more', 'Lastly add the fried paneer kofta If serving later you can just prepare the gravy and add kofta while serving These paneer kofta are really soft So if you add them before and serve them later they will break', 'While serving garnish with some cream grated paneer and coriander leaves', 'Serve malai kofta hot with rotis naan steamed basmati rice or jeera rice']",https://www.vegrecipesofindia.com/wp-content/uploads/2013/05/malai-kofta-recipe2.jpg
